date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:53	344/344	---MCZ	200	added ('OK')	text/plain	date:Mon,%2006%20Mar%202023%2012:48:52%20GMT	https://pierreeav.wordpress.com/robots.txt		(from )
13:48:53	77561/77561	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2012:48:52%20GMT	https://pierreeav.wordpress.com/	D:/My%20Web%20Sites/Pierre/pierreeav.wordpress.com/index.html	(from )
13:48:54	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2006%20Mar%202023%2012:48:53%20GMT	https://pierreeav.wordpress.com/xmlrpc.php	D:/My%20Web%20Sites/Pierre/pierreeav.wordpress.com/xmlrpc.php	(from https://pierreeav.wordpress.com/)
13:48:54	12405/12405	---MCZ	200	added ('OK')	application/javascript	etag:W/%226390e6a9-30cd%22	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	D:/My%20Web%20Sites/Pierre/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://pierreeav.wordpress.com/)
13:48:54	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%225bffef5a-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	D:/My%20Web%20Sites/Pierre/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://pierreeav.wordpress.com/)
13:48:54	323/323	---MCZ	200	added ('OK')	text/css	etag:W/%225bffef59-1d7%22	https://s0.wp.com/wp-content/themes/h4/global.css?m=1420737423h&cssminify=yes	D:/My%20Web%20Sites/Pierre/s0.wp.com/wp-content/themes/h4/global21a2.css	(from https://pierreeav.wordpress.com/)
13:48:54	3088/3088	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2006%20Mar%202023%2012:48:54%20GMT	https://pierreeav.wordpress.com/feed/	D:/My%20Web%20Sites/Pierre/pierreeav.wordpress.com/feed/index.html	(from https://pierreeav.wordpress.com/)
13:48:55	870/870	---MCZ	200	added ('OK')	text/xml	date:Mon,%2006%20Mar%202023%2012:48:54%20GMT	https://pierreeav.wordpress.com/xmlrpc.php?rsd	D:/My%20Web%20Sites/Pierre/pierreeav.wordpress.com/xmlrpc0db0.php	(from https://pierreeav.wordpress.com/)
13:48:55	37496/37496	---MCZ	200	added ('OK')	text/css	etag:W/%225bfee31a-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	D:/My%20Web%20Sites/Pierre/s1.wp.com/_static/indexba1f.html	(from https://pierreeav.wordpress.com/)
13:48:55	930/930	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c9425ad23e2ec77ec0b597075ba4df63%22	https://pierreeav.wordpress.com/comments/feed/	D:/My%20Web%20Sites/Pierre/pierreeav.wordpress.com/comments/feed/index.html	(from https://pierreeav.wordpress.com/)
